"numero_economico","tipo_unidad","dependencia","tipo_movimiento","concepto","descripcion","taller_nombre","fecha_ingreso","tiempo_taller_dias","estatus","fecha_salida","observaciones"
"E-162","Patrulla esei 4","Seguridad Pública","Correctivo","Balanceo de Celdas","reductor, balanceo, blowewr,abanico a/c, mando de accesorios, bomba de vacio y coolan, vcu, pdu, ajuste de volante, boton de encendido","Taller interno","2025-04-16","361","En curso","",""
"E-334","Patrulla Mini Dolphin","Seguridad Pública","Correctivo","Falla en aislamiento","SALIO DE TALLER BYD PARA INGRESARLA POR TEMA DE GANTIA POR EL SEGURO, SE INGRESA A ZONA NORTE","Taller ByD","2025-07-14","272","En curso","",""
"E-251","Patrulla esei 4","Seguridad Pública","Correctivo","Balanceo de Celdas","presenta 21 celdas desbalanceadas, se encuentra en espera PDU, perdida de potencia","Taller interno","2025-09-01","223","En curso","",""
"E-148","Patrulla esei 4","Seguridad Pública","Correctivo","Falla en 4s","Blokeada","Taller Jac","2025-09-05","219","En curso","",""
"E-161","Patrulla esei 4","Seguridad Pública","Correctivo","Falla en 4s","VCU, BOMBA DE VACIO, BOMBAS DE COOLANT, nucleo reventado","Taller interno","2025-10-08","186","En curso","",""
"E-182","Patrulla esei 4","Seguridad Pública","Correctivo","Balanceo de Celdas","4S CON DESBALANCEO, VCU, 60 CELDAS DESBALANCEADAS","Taller interno","2025-10-10","184","En curso","",""
"E-265","Patrulla esei 4","Seguridad Pública","Correctivo","BMS","POSIBLE INSULATION, GETWAY","Taller interno","2025-10-21","173","En curso","",""
"E-150","Patrulla esei 4","Seguridad Pública","Correctivo","Insulation","","Taller interno","2025-10-27","167","En curso","",""
"E-289","Patrulla esei 4","Seguridad Pública","Correctivo","Balanceo de Celdas","PRESENTA 5 CELDAS DESBALANCEADAS, PDU","Taller interno","2025-10-29","165","En curso","",""
"E-126","Patrulla esei 4","Seguridad Pública","Correctivo","Balanceo de Celdas","PRESENTA 1 CELDAS DESBALANCEADAS, EN PROCESO DE BALANCEO, PDU","Taller interno","2025-01-29","438","En curso","",""
